,tag1
3440,"máy_lạnh toshiba inverter 1 hp_ras-h10d2kcvg-v - chỉ giao tại hcm-công_suất làm lạnh 1.0_hp phạm_vi làm lạnh hiệu_quả dưới 15 m2 xuất_xứ thương_hiệu nhật_bản xuất_xứ thái_lan model_ras-h10d2kcvg-v_công_nghệ inverter có gas sử_dụng r-32 chế_độ tiết_kiệm điện có kháng_khuẩn khử_mùi công_nghệ chống bám bẩn magic coil , bộ lọc toshiba_iaq chế_độ làm lạnh nhanh có chế_độ gió điều_khiển lên xuống tự_động , trái phải tùy chỉnh tay tiện_ích hẹn giờ tắt , chế_độ chỉ sử_dụng quạt - không làm lạnh , làm_lạnh nhanh tức_thì , chức_năng hút ẩm , tự khởi_động lại khi có điện , chức_năng tự làm sạch thương_hiệu toshiba kích_thước dàn lạnh : 74 x 20.5 x 25 ( cm ) dàn nóng : 59.8 x 20 x 53 ( cm ) độ ồn dàn lạnh 32_db_độ ồn dàn nóng 47 db trọng_lượng dàn lạnh : 8 kg ; dàn nóng : 18 kg chất_liệu ống_dẫn gas : đồng - lá tản nhiệt : nhôm thông_tin lắp_đặt / giao hàng chiều_dài lắp_đặt ống đồng : tiêu_chuẩn 5 m - tối_thiểu 2 m - tối_đa 15 m chiều cao lắp_đặt tối_đa giữa cục nóng-lạnh : 12 m sku_6730640188809 dưới 100 triệu"
3441,"smart tivi lg_4k 49 inch 49sm8100_pta - tổng công_suất loa 20w công_nghệ âm_thanh_âm_thanh vòm - surround mode dts virtual : x thương_hiệu lg xuất_xứ thương_hiệu hàn_quốc tần_số quét 50h z hệ điều_hành , giao_diện webos công_nghệ xử_lý hình_ảnh xử_lý hình_ảnh ai chuyên_sâu cổng hdmi_hdmi_2.1 x4 cổng internet ( lan ) có wifi_802.11_ac xuất_xứ indonesia năm ra_mắt 2019 hình_ảnh hlg , hdr10_pro , tấm nền ips , 4k_active_hdr , local_dimming , 4k_upscaler , true_color_accuracy , bộ nâng_cấp màu advanced_color_enhancer , quad_core_processor , ultra_luminance , nanocell_remote thông_minh magic_remote_độ phân_giải 3840 x 2160 pixels kích_thước màn_hình 49 inch kích_thước không chân / treo tường 1096 x 640 x 63.6 mm kích_thước có chân / đặt bàn 1096 x 710 x 263.1 mm các ứng_dụng sẵn có youtube , netflix , clip_tv , fpt_play , mytv , nhaccuatui , zingtv , spotify_usb x3 xem 3d không khối_lượng không chân 14 kg khối_lượng có chân 15.5 kg sku_8565444791706 dưới 10 triệu"
3442,"máy_giặt samsung_inverter_9 kg ww90k52e0ww / sv - chỉ giao hcm và hà_nội-bảng điều_khiển song_ngữ anh - việt có nút xoay , nút nhấn và màn_hình hiển_thị thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc chất_liệu chất_liệu vỏ máy : kim_loại sơn_tĩnh_điện chất_liệu nắp máy : nhựa chất_liệu lồng giặt thép không gỉ chế_độ giặt nhanh không chế_độ hẹn giờ không chương_trình hoạt_động 14 chương_trình công_nghệ_giặt công_nghệ giặt hơi_nước steam_cycles , lồng giặt thiết_kế kim_cương , công_nghệ giặt bong_bóng eco_bubble_điện_áp 220v - 50h z kích_thước 62 x 60_x_85 ( cm ) lồng giặt lồng ngang công_nghệ inverter có model ww90k52e0ww / sv khối_lượng giặt 9 kg kiểu động_cơ truyền_động dây curoa kiểu máy_giặt cửa trước xuất_xứ việt_nam trọng_lượng 63 kg tốc_độ quay vắt 1200 vòng / phút sku_2285554389575 tiện_ích khóa trẻ_em , giặt nước nóng , giặt hơi_nước , công_nghệ_inverter tiết_kiệm điện , thêm đồ khi đang giặt với cửa phụ add_door , vệ_sinh lồng giặtdưới 100 triệu"
3443,"smart tivi philips_hd 32 inch 32pht5853 s / 74 - âm_thanh mp3 , aac_tổng công_suất loa 12w số_lượng loa 2 công_nghệ âm_thanh_âm_thanh vòm ảo thương_hiệu philips xuất_xứ thương_hiệu hà_lan component video có composite video có tivi kỹ_thuật_số ( dvb-t2 ) có phim mpeg-2 , mpeg-4 , h264 / mpeg-4 avc , hevc ( h. 265 ) tần_số quét 60h_z công_nghệ xử_lý hình_ảnh pixel_plus_hd_model_32pht5853 s / 74 cổng hdmi 2 cổng internet ( lan ) ethernet-lan_rj-45 xuất_xứ thái_lan hình_ảnh jpeg , bmp , png_độ phân_giải 1366 x 768 pixels kích_thước màn_hình 32 inch kích_thước không chân / treo tường 732 x 432 x 76 mm kích_thước có chân / đặt bàn 732 x 492 x 183 mm phụ_đề phim srt , ass loại tivi smart tivi usb 2 xem 3d không khối_lượng không chân 3.8 kg khối_lượng có chân 3.9 kg sku_8258753062840 dưới 100 triệu"
3444,máy rửa chén electrolux_esf6010bw_1480w ( hàng chính hãng ) - thương hiệu electrolux kích_thước kích_thước - khối_lượng : cao_60.4_cm - rộng 55 cm - sâu_52.3 cm model esf6010bw ._sku_1491792819496 dưới 100 triệu
3445,loa thanh soundbar lg_2.1_sl4_300w - hàng chính hãng-thương hiệu lg xuất_xứ thương_hiệu hàn_quốc kích_thước loa chính : cao_5.7_cm - ngang 89 cm - sâu_8.5_cm - nặng_2.25 kg loa sub ( loa bass ) : cao_39.3_cm - ngang 17.1 cm - sâu_24.9_cm - nặng_5.3 kg model_sl4 xuất_xứ trung_quốc tổng công_suất 300w_sku_4149630906392 dưới 100 triệu
3446,"android tv box xiaomi_mi_tv_stick tìm_kiếm bằng giọng nói , hỗ_trợ tiếng việt - hàng chính hãng-thương_hiệu xiaomi xuất_xứ thương_hiệu trung_quốc model mi tv_stick xuất_xứ trung_quốc sku 6779271025035 dưới 1 triệu"
3447,tủ_lạnh inverter_samsung rt25har4dsa / sv ( 255l ) - bạc - hàng chính hãng-thương hiệu samsung_điện_áp 220 - 240 v / 50-60 hz kích_thước 555 x 637 x 1635 mm dung_tích ngăn đá 53 lít dung_tích ngăn lạnh 202_lít dung_tích tổng 264l_số cửa 2 công_nghệ inverter có model_rt25har4dsa_kiểu tủ_lạnh ngăn_đá phía trên xuất_xứ việt_nam sku_1032894902459 dưới 100 triệu
3448,android tivi box fpt play box + 2020 2gb hệ_điều_hành android tv 10 hỗ_trợ 4k tích_hợp điều_khiển bằng giọng_nói ( model_s550 ) - hàng chính hãng-thương_hiệu fpt xuất_xứ thương_hiệu việt_nam model_s550 xuất_xứ việt_nam sku_8443953401623 dưới 100 triệu
3449,"smart tivi samsung_4k 50 inch ua50tu8100-âm_thanh_ac3 , mka , midi , mid , wma , mpa , m4a , mp3 , wav_tổng công_suất loa 20w số_lượng loa 2 công_nghệ âm_thanh dolby_digital_plus_thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc component video có composite video có điều_khiển tivi bằng điện_thoại bằng ứng_dụng smartthings_tivi kỹ_thuật_số ( dvb-t2 ) có phim wmv , mpeg , mp4 , avi , flv , m4v , mkv , mov , webm hệ điều_hành , giao_diện tizen_os_công_nghệ xử_lý hình_ảnh hdr 10 + , game_mode , mega contrast , uhd_dimming , purcolor , nâng_cấp_độ tương_phản - contrast enhancer model_ua50tu8100_kết_nối bàn_phím , chuột có_thể_kết_nối ( sử_dụng tốt nhất trong trình duyệt web ) kết_nối không dây chiếu màn_hình qua airplay 2 , chiếu màn_hình screen mirroring cổng hdmi 3_cổng internet ( lan ) có wifi có xuất_xứ việt_nam năm ra_mắt 2020 hình_ảnh png , mpo , jpeg , jpg , gif , jps_remote thông_minh remote đa_nhiệm - one_remote_độ phân_giải 4k ( 3940 x 2160 ) kích_thước màn_hình 50 inch kích_thước không chân / treo tường ngang 111.68 cm - cao_64.42_cm - dày_5.99 cm kích_thước có chân / đặt bàn ngang 111.68 cm - cao_71.91_cm - dày_25.02_cm phụ_đề phim srt loại tivi smart_tivi tương_tác thông_minh tìm_kiếm giọng nói ( chỉ hỗ_trợ tiếng việt trong youtube ) các ứng_dụng sẵn có youtube , netflix , trình duyệt web , kho ứng_dụng các ứng_dụng phổ_biến có_thể tải thêm fpt_play , vtv_go , mytv , spotify , zingtv , clip_tv , fim + usb 2 xem 3d không khối_lượng không chân 11.4 kg khối_lượng có chân 11.6 kg sku_8972375404207 dưới 10 triệu"
3450,"smart tivi tcl_full_hd 40 inch l40s6500-tổng công_suất loa 16w công_nghệ âm_thanh dolby_ms12_thương_hiệu tcl_composite video có điều_khiển tivi bằng điện_thoại bằng ứng_dụng t-cast_tivi kỹ_thuật_số ( dvb-t2 ) có hệ điều_hành , giao_diện android_8.0_công_nghệ xử_lý hình_ảnh hiệu_ứng hdr , micro dimming model_l40s6500_kết_nối bàn_phím , chuột có_thể_kết_nối ( sử_dụng tốt nhất trong trình duyệt web ) kết_nối không dây chiếu màn_hình screen mirroring cổng hdmi 3 cổng cổng internet ( lan ) có wifi có xuất_xứ việt_nam_độ phân_giải full_hd ( 1920 x 1080 ) kích_thước màn_hình 40 inch kích_thước không chân / treo tường ngang 90.5 cm - cao_51.8_cm - dày_18.5 cm kích_thước có chân / đặt bàn ngang 90.5 cm - cao_57.7_cm - dày_18.5 cm loại tivi smart_tivi các ứng_dụng sẵn có trình duyệt web , youtube , netflix_usb 2 cổng xem 3d không sku_7528467384882 dưới 100 triệu"
3451,"remote điều_khiển dùng cho smart_tv , internet tv , led_tv_samsung_bn59-01303a - hàng nhập khẩu-thương hiệu oem xuất_xứ thương_hiệu trung_quốc model bn59-01303a xuất_xứ trung_quốc trọng_lượng 300 g sku_7891469591085 dưới 1 triệu"
3452,"tủ_lạnh samsung_inverter_380l_rt38k5930dx / sv-thương hiệu samsung xuất_xứ thương_hiệu thái_lan chất_liệu khay ngăn kính cường_lực dung_tích ngăn đá 87 dung_tích ngăn lạnh 293 dung_tích tổng 380 số cửa 2 công_nghệ inverter có model rt38k5930dx / sv kiểu tủ_lạnh ngăn_đá phía trên xuất_xứ hàn_quốc sku 1869530624884 tiện_ích inverter tiết_kiệm điện , dàn lạnh hoạt_động độc_lập , ngăn đá lớn , lấy nước bên ngoài , bảng điều_khiển bên ngoàidưới 10 triệu"
3453,máy sấy electrolux 8 kg_edv805jqwa-bảng điều_khiển điện_tử_thương hiệu electrolux xuất_xứ thương_hiệu thụy_điển_điện_áp 220v - 50h z kích_thước 60 x 60 x 84.5 ( cm ) model_edv805jqwa khối_lượng sấy 8 kg loại máy sấy cửa trước xuất_xứ thái_lan trọng_lượng đang cập_nhật công_nghệ sấy máy sấy hơi sku_9239376405985 dưới 100 triệu
3454,"máy_giặt cửa trước inverter_electrolux_ewf9025bq ( 9 kg ) - hàng chính_hãng-bảng điều_khiển tiếng anh thương_hiệu electrolux xuất_xứ thương_hiệu thụy_điển_chất_liệu lồng_giặt : thép không gỉ chất_liệu lồng giặt thép không gỉ chế_độ giặt nhanh không chế_độ hẹn giờ không_kích_thước cao_85 cm - ngang 65.2 cm - sâu 60 cm lồng giặt lồng ngang công_nghệ inverter có model_ewf9025bqsa khối_lượng giặt 9 kg kiểu động_cơ truyền_động dây curoa kiểu máy_giặt cửa trước trọng_lượng 68 kg quy_cách sản_phẩm 1 sản_phẩm / thùng tốc_độ quay vắt 1200 vòng / phút sku_6339437317066 tiện_ích điều_chỉnh thời_gian giặt , tiết_kiệm nước , tiết_kiệm điệndưới 100 triệu"
3455,"smart tivi samsung_4k 65 inch ua65tu8100-tổng công_suất loa 20w ( 2 loa mỗi loa 10w ) công_nghệ âm_thanh dolby_digital_plus_thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc component video có cổng component_composite video 1 kết_nối có ( loa , chuột , bàn_phím ) điều_khiển tivi bằng điện_thoại bằng ứng_dụng smartthings_tivi kỹ_thuật_số ( dvb-t2 ) dvb-t2c hệ điều_hành , giao_diện tizen_os_công_nghệ xử_lý hình_ảnh hdr 10 + , game_mode , mega contrast , uhd_dimming , purcolor , nâng_cấp_độ tương_phản - contrast enhancer model_ua65tu8100_kết_nối bàn_phím , chuột có_thể_kết_nối ( sử_dụng tốt nhất trong trình duyệt web ) kết_nối không dây chiếu màn_hình qua airplay 2 , chiếu màn_hình screen mirroring cổng hdmi 3 cổng cổng internet ( lan ) có wifi có xuất_xứ việt_nam năm ra_mắt 2020_remote thông_minh remote đa_nhiệm - one_remote_độ phân_giải uhd_4k ( 3840 x 2160 ) kích_thước màn_hình 65 inch kích_thước không chân / treo tường ngang 144.94 cm - cao_83.03_cm - dày_5.99 cm kích_thước có chân / đặt bàn ngang 144.94 cm - cao_90.66_cm - dày_28.21 cm loại tivi smart_tivi tương_tác thông_minh tìm_kiếm giọng nói ( chỉ hỗ_trợ tiếng việt trong youtube ) các ứng_dụng sẵn có youtube , netflix , trình duyệt web , kho ứng_dụng các ứng_dụng phổ_biến có_thể tải thêm fpt_play , vtv_go , mytv , spotify , zingtv , clip_tv , fim + usb 2 cổng xem 3d không khối_lượng không chân 20.6 kg khối_lượng có chân 20.9 kg sku_4600818594263 dưới 10 triệu"
3456,máy sấy electrolux 7 kg_edv705hqwa-bảng điều_khiển điều_khiển điện_tử_thương hiệu electrolux_chất_liệu chất_liệu lồng_sấy : thép không gỉ điện_áp 220v - 50h z kích_thước 60 x 60 x 84.5 ( cm ) model_edv705hqwa khối_lượng sấy 7 kg loại máy sấy cửa trước xuất_xứ thái_lan trọng_lượng đang cập_nhật công_nghệ sấy sấy thông hơi sku_6094166335025 dưới 100 triệu
3457,magic remote tivi lg 2019_an-mr19ba-hàng chính hãng-thương hiệu lg xuất_xứ thương_hiệu việt_nam model_mr19ba_nhà sản_xuất lg_xuất_xứ việt_nam trọng_lượng 300 g sku_2251806240956 dưới 1 triệu
3458,"smart tivi sony_4k 65 inch kd-65x7000g-tổng công_suất loa 20w ( 2 loa mỗi loa 10w ) số_lượng loa 2 công_nghệ âm_thanh s-force_front_surround , clearaudio + thương hiệu sony xuất_xứ thương_hiệu nhật_bản tần_số quét 50h z hệ điều_hành , giao_diện linux công_nghệ xử_lý hình_ảnh hlg , hdr10 , live_colour , 4k_x-reality_pro , triluminos_display , dynamic_contrast_enhancer_model_kd-65x7000g_vn3_kết_nối bàn_phím , chuột có_thể_kết_nối ( sử_dụng tốt nhất trong trình duyệt web ) kết_nối không dây chiếu màn_hình screen mirroring cổng hdmi 3 cổng wifi có xuất_xứ malaysia năm ra_mắt 2019 kích_thước không chân / treo tường ngang 146.3 cm - cao_83.9_cm - dày_7.9 cm loại tivi smart_tivi các ứng_dụng sẵn có netflix , galaxy_play , cliptv , fpt_play , youtube , youtube_kids , nhaccuatui_usb 3 cổng xem 3d không khối_lượng không chân 20.5 kg khối_lượng có chân 21.6 kg sku_6234150610749 dưới 10 triệu"
3459,điều_khiển dành cho tivi ssung smart internet đời k-thương_hiệu oem xuất_xứ thương_hiệu trung_quốc xuất_xứ trung_quốc sku 4776322031409 dưới 1 triệu
3460,tivi led_philips_full_hd 40 inch 40pft5063 s / 74 - thương_hiệu philips xuất_xứ thương_hiệu hà_lan xuất_xứ china xem 3d không sku_8950851879138 dưới 100 triệu
3461,micro karaoke không dây màn_hình lcd_zansong_v12 ( hàng nhập_khẩu ) - thương_hiệu zansong xuất_xứ thương_hiệu trung_quốc model v12 xuất_xứ trung_quốc sku 8964135141521 dưới 1 triệu
3462,"bộ 2 micro không dây karaoke cực hay mu02 màu xám , kết_nối với loa kéo , amply bằng cổng mic 6 . chính hãng-thương_hiệu việt star_quốc_tế xuất_xứ thương_hiệu việt_nam độ_nhạy - 52 db ± 3 db model mu02_xám xuất_xứ trung_quốc tần_số uhf_sku_5043906545481 dưới 1 triệu"
3463,"máy_giặt sấy lg_inverter 9 kg fv1409g4v - chỉ giao_hcm-bảng điều_khiển song_ngữ anh - việt , có nút xoay , màn_hình hiển_thị thương_hiệu lg xuất_xứ thương_hiệu hàn_quốc chất_liệu chất_liệu lồng giặt : thép không gỉ chất_liệu vỏ máy : kim_loại sơn_tĩnh_điện chất_liệu nắp máy : kính chịu lực chất_liệu lồng giặt thép không gỉ chế_độ giặt nhanh không chế_độ hẹn giờ không công_nghệ_giặt công_nghệ giặt hơi_nước steam + , giặt 6 chuyển_động_điện_áp 220v - 50h z kích_thước 60 x 55_x_85 ( cm ) lồng giặt lồng ngang model_fv1409g4v khối_lượng giặt 9 kg khối_lượng sấy 5 kg kiểu động_cơ truyền_động trực_tiếp - sử_dụng trí_tuệ nhân_tạo kiểu máy_giặt cửa trước xuất_xứ việt_nam trọng_lượng 69 kg tốc_độ quay vắt 1400 vòng / phút sku_4911108394334 tiện_ích add_item - thêm đồ trong khi giặt , giặt nước nóng , khóa trẻ_em , giặt hơi_nước , cho_phép điều_khiển máy_giặt từ xa qua ứng_dụng smartthinqdưới 10 triệu"
3464,"máy_lạnh casper_inverter 1 hp gc-09tl32 mới 2020 - hàng chính_hãng-phạm_vi làm lạnh hiệu_quả dưới 15 m2 xuất_xứ thương_hiệu thái_lan model_gc-09tl32_công_nghệ inverter có gas sử_dụng r-32 chế_độ tiết_kiệm điện không kháng_khuẩn khử mùi hệ_thống lưới lọc đa_chiều airfresh chế_độ làm lạnh nhanh có chế_độ gió điều_khiển lên xuống tự_động , trái phải tùy chỉnh tay thương hiệu casper_độ ồn dàn lạnh 43_db_độ ồn dàn nóng 50 db trọng_lượng 29 kg_điện_áp 220v_sku_9778946586728 dưới 100 triệu"
3465,"máy_lạnh lg inverter 1 hp_v10enw-công_suất làm lạnh 1.0_hp phạm_vi làm lạnh hiệu_quả dưới 15 m2 xuất_xứ thương_hiệu hàn_quốc xuất_xứ thái_lan model_v10enw_công_nghệ inverter có gas sử_dụng r-32 chế_độ tiết_kiệm điện có kháng_khuẩn khử mùi có chế_độ làm lạnh nhanh có chế_độ gió tự_động hoặc chỉnh tay tiện_ích làm_lạnh nhanh tức_thì , tự khởi_động , chế_độ vận_hành khi ngủ , chuẩn đoán thông_minh thương_hiệu lg kích_thước chênh_lệch độ cao đường_ống tối_đa : 7 m ống_dẫn ga : 9.52 mm ống_dẫn chất_lỏng : 6.35 mm thông_tin dàn lạnh dài_75.6_cm - cao_26.5_cm - rộng_18.5_cm - nặng_7.7 kg thông_tin dàn nóng dài 72 cm - cao_50 cm - rộng 23 cm - nặng_20.9 kg độ ồn dàn lạnh 38/33/29 / 27 db ( a ) độ ồn dàn nóng 50 db ( a ) quy_cách sản_phẩm 1 sản_phẩm / thùng trọng_lượng 33 kg điện_áp 220v-240 v / 50h z sku_1091237643848 dưới 100 triệu"
3466,loa soundbar_soundmax_sb202_2.0 - hàng chính hãng-thương_hiệu soundmax_model_sb202 / 2.0 xuất_xứ trung_quốc tần_số 50h z ~_20kh z sku_2064477658735 dưới 1 triệu
3467,"máy_giặt toshiba_7 kg aw-a800sv-thương_hiệu toshiba chế_độ giặt nhanh không chế_độ hẹn giờ không điện_áp 220 - 240v , 50 ~ 60h z kích_thước cao_905 x ngang 555 x sâu 590 mm lồng giặt lồng_đứng công_nghệ inverter không model_aw-a800sv-wb khối_lượng giặt 7 kg khối_lượng sấy không kiểu máy_giặt cửa trên xuất_xứ thái_lan sku_4516363106274 dưới 100 triệu"
3468,máy_lạnh casper_sc-09tl32 ( 1.0_hp ) - hàng chính hãng - chỉ giao tại hcm-công_suất làm lạnh ~_9.000_btu phạm_vi làm lạnh hiệu_quả 45 m3 xuất_xứ thương_hiệu thái_lan xuất_xứ thái_lan model_sc-09tl32_công_nghệ inverter không gas sử_dụng r-32 chế_độ tiết_kiệm điện không chế_độ làm lạnh nhanh có thương_hiệu casper kích_thước lạnh : 79.2 x 20.1 x 29.2 ( cm ) nóng : 71 x 24 x 50 ( cm ) trọng_lượng 37000 sku_9725038804826 dưới 100 triệu
3469,máy_giặt toshiba_inverter_8.5 kg tw-bh95s2v_wk-bảng điều_khiển điện_tử_thương hiệu toshiba xuất_xứ thương_hiệu nhật_bản_chất_liệu vỏ máy : thép mạ kẽm chất_liệu lồng giặt thép không gỉ chế_độ giặt nhanh không chế_độ hẹn giờ không điện_áp 220 - 240v_50h z kích_thước ( c x r x d ) 59.5 x 53_x_85 cm lồng giặt lồng ngang công_nghệ inverter có model_tw-bh95s2v khối_lượng giặt 8.5 kg kiểu máy_giặt cửa trước xuất_xứ trung_quốc trọng_lượng 68 kg quy_cách sản_phẩm 1 sản_phẩm / thùng tốc_độ quay vắt 600 / 800 / 1000 / 1200 vòng / phút sku_7499876725255 dưới 100 triệu
3470,android tivi sony_4k 55 inch kd-55x9000h-thương_hiệu sony xuất_xứ thương_hiệu nhật_bản xuất_xứ malaysia xem 3d không sku_5698193612770 dưới 10 triệu
3471,loa thanh samsung hw-r450 ( 200w ) - hàng chính hãng-thương hiệu samsung xuất_xứ thương_hiệu hàn_quốc kích_thước 95 x 15 x 12 ( cm ) model_r450_sku_9027345484976 dưới 100 triệu
3472,"smart tivi samsung_4k 43 inch ua43tu8100-tổng công_suất loa 20w số_lượng loa 2 công_nghệ âm_thanh dolby_digital_plus_thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc component video có composite video có điều_khiển tivi bằng điện_thoại bằng ứng_dụng smartthings công_nghệ xử_lý hình_ảnh hdr 10 + , game_mode , mega contrast , uhd_dimming , purcolor , nâng_cấp_độ tương_phản - contrast enhancer model_ua43tu8100_kết_nối bàn_phím , chuột có_thể_kết_nối ( sử_dụng tốt nhất trong trình duyệt web ) kết_nối không dây kết_nối không dây với điện_thoại , máy_tính bảng chiếu màn_hình qua airplay 2 , chiếu màn_hình screen mirroring cổng hdmi 3_cổng internet ( lan ) có wifi có xuất_xứ việt_nam năm ra_mắt 2020_remote thông_minh remote đa_nhiệm - one_remote_độ phân_giải uhd_4k ( 3840 x 2160 ) kích_thước màn_hình 43 inch kích_thước không chân / treo tường ngang 96.39 cm - cao_55.89_cm - dày_5.99 cm kích_thước có chân / đặt bàn ngang 96.39 cm - cao_62.78_cm - dày_19.25 cm loại tivi smart_tivi tương_tác thông_minh tìm_kiếm giọng nói ( chỉ hỗ_trợ tiếng việt trong youtube ) các ứng_dụng sẵn có youtube , netflix , trình duyệt web , kho ứng_dụng các ứng_dụng phổ_biến có_thể tải thêm fpt_play , vtv_go , mytv , spotify , zingtv , clip_tv , fim + xem 3d không khối_lượng có chân 8.3 kg sku_3319636405989 dưới 100 triệu"
3473,"máy_lạnh daikin ftv25bxv1v9 / rv25bxv1v ( 1.0_hp ) - hàng chính_hãng-công_suất làm lạnh 1.0_hp_công_suất sưởi ấm không phạm_vi làm lạnh hiệu_quả dưới 15 m2 ( từ 30 đến 45 m3 ) xuất_xứ malaysia model ftv25bxv1v9 / rv25bxv1v công_nghệ inverter không gas sử_dụng r-32 chế_độ tiết_kiệm điện không kháng_khuẩn khử mùi màng lọc xúc_tác quang apatit titan chế_độ làm lạnh nhanh không chế_độ gió tuỳ_chỉnh điều_khiển lên xuống tiện_ích chế_độ ngủ ban_đêm , chế_độ gió dễ_chịu , hoạt_động êm_ái thương_hiệu daikin thông_tin dàn lạnh cao_288 x rộng 800 x sâu 206 mm - nặng_9 kg thông_tin dàn nóng cao 550 x rộng 658 x sâu 273 mm - nặng_28 kg điện_áp 220 - 240 v / 50h z sku_1013279648575 dưới 100 triệu"
3474,"smart tivi samsung_4k 55 inch ua55tu8000-tổng công_suất loa 20w công_nghệ âm_thanh dolby_digital_thương_hiệu samsung xuất_xứ thương_hiệu hàn_quốc component video 1 composite video 1_tivi kỹ_thuật_số ( dvb-t2 ) có hệ điều_hành , giao_diện tizen_os_công_nghệ xử_lý hình_ảnh hdr 10 + , purcolor_kết_nối bàn_phím , chuột có_thể_kết_nối ( sử_dụng tốt nhất trong trình duyệt web ) kết_nối không dây chiếu màn_hình screen mirroring cổng hdmi 3_cổng internet ( lan ) có xuất_xứ việt_nam remote thông_minh không dùng được độ phân_giải uhd_4k ( 3840 x 2160 ) kích_thước màn_hình 55 inch loại tivi_smart tivi các ứng_dụng sẵn có youtube , trình duyệt web các ứng_dụng phổ_biến có_thể tải thêm clip_tv , fpt_play , vtv_go , fim_+ , zingtv , spotify , netflix usb 2 xem 3d không sku_9135569231525 dưới 10 triệu"
3475,tủ_lạnh inverter_samsung rb30n4180b1 / sv ( 307l ) - hàng chính hãng-thương_hiệu samsung_chất_liệu cửa : kim_loại phủ sơn_tĩnh_điện chất_liệu khay ngăn kính chịu lực kích_thước ( d x r x c ) 663 x 595 x 1700 mm dung_tích ngăn đá 92l dung_tích ngăn lạnh 215l dung_tích tổng_307l_công_nghệ inverter có model rb30n4180b1 / sv kiểu tủ_lạnh ngăn_đá phía dưới xuất_xứ việt_nam sku_9089448728036 tiện_ích ngăn kệ có_thể thay_đổi linh hoạtdưới 10 triệu
3476,"loa caraven_cr-853 nghe nhạc usb , thẻ nhớ , đài radio fm hàng_nhập khẩu-thương hiệu craven xuất_xứ thương_hiệu trung_quốc sku 5757810429877 dưới 1 triệu"
3477,"android tivi sony_4k 55 inch_kd-55x7400h-công_nghệ âm_thanh_âm_thanh dts_hd , s-master_digital_amplifier_thương_hiệu sony xuất_xứ thương_hiệu nhật_bản_công_nghệ xử_lý hình_ảnh bộ xử_lý hình_ảnh x1_4k_processor_model_kd-55x7400h_cổng_hdmi 3 cổng cổng internet ( lan ) có wifi kết_nối wi-fi ( tích_hợp ) 2 băng tần xuất_xứ malaysia_độ phân_giải 3840 x 2160 pixels kích_thước màn_hình 55 inch loại tivi android tivi usb 2 cổng xem 3d không sku_1660854791159 dưới 10 triệu"
3478,tủ_lạnh mini 2 chế_độ nóng lạnh 10_lít - thương_hiệu oem xuất_xứ việt_nam sku_3229873309332 dưới 100 triệu
3479,khung treo tivi mâm nghiêng 37 - 65 inch m65n - hàng chính hãng-thương hiệu cảnh phong kích_thước 60x18 x4 cm ( dxrxc ) model_m65n_sku_4444352260426 dưới 1 triệu
3480,"android tivi sony_4k 49 inch_kd-49x7400h-công_nghệ âm_thanh_âm_thanh dts_hd , s-master_digital_amplifier_thương_hiệu sony xuất_xứ thương_hiệu nhật_bản_công_nghệ xử_lý hình_ảnh bộ xử_lý hình_ảnh x1_4k_processor_model_kd-49x7400h_cổng_hdmi 3 cổng cổng internet ( lan ) có wifi kết_nối wi-fi ( tích_hợp ) 2 băng tần xuất_xứ malaysia_độ phân_giải 3840 x 2160 pixels kích_thước màn_hình 49 inch loại tivi android tivi usb 2 cổng xem 3d không sku_9309282715178 dưới 10 triệu"
3481,smart tivi casper_full_hd 43 inch 43fx6200 - công_nghệ âm_thanh dolby_audio_thương_hiệu casper xuất_xứ thương_hiệu thái_lan composite video có tivi kỹ_thuật_số ( dvb-t2 ) có_công_nghệ xử_lý hình_ảnh công_nghệ_ips_model_43fx6200_cổng hdmi 2 cổng internet ( lan ) có xuất_xứ thái_lan_độ phân_giải 1920 x 1080 pixels kích_thước màn_hình 43 inch loại tivi smart tivi usb 2 xem 3d không sku_9792414577773 dưới 100 triệu
3482,tủ_lạnh electrolux_46l_eum0500sb-thương_hiệu electrolux_chất_liệu cửa tủ_lạnh : thép không gỉ điện_áp 220v / 50h z / 1.5 a_kích_thước 47.4 x 44.7 x 49.6 mm dung_tích tổng 52l_số cửa 1 model_eum0500sb_kiểu tủ_lạnh mini xuất_xứ trung_quốc sku_5959076151626 dưới 100 triệu
3483,tủ_lạnh funiki_hòa_phát fr_135cd 130 lít - hàng chính hãng-thương hiệu hòa phát_xuất_xứ thương_hiệu việt_nam xuất_xứ việt_nam sku_3722069635968 dưới 100 triệu
